,exp_name,task_number,task_trained_on,model,lambda,accuracy
EWC_train38_eval19,exp1,19,38,EWC,0.4,40.0
naive_train39_eval19,exp1,19,39,naive,,53.0
foolish_train39_eval19,exp1,19,39,foolish,,52.0
EWC_train39_eval19,exp1,19,39,EWC,0.4,48.0
naive_train40_eval19,exp1,19,40,naive,,49.0
foolish_train40_eval19,exp1,19,40,foolish,,41.0
EWC_train40_eval19,exp1,19,40,EWC,0.4,41.5
naive_train41_eval19,exp1,19,41,naive,,43.0
foolish_train41_eval19,exp1,19,41,foolish,,46.0
EWC_train41_eval19,exp1,19,41,EWC,0.4,38.5
naive_train42_eval19,exp1,19,42,naive,,53.5
foolish_train42_eval19,exp1,19,42,foolish,,51.5
EWC_train42_eval19,exp1,19,42,EWC,0.4,51.5
naive_train43_eval19,exp1,19,43,naive,,52.0
foolish_train43_eval19,exp1,19,43,foolish,,58.5
EWC_train43_eval19,exp1,19,43,EWC,0.4,43.0
naive_train44_eval19,exp1,19,44,naive,,46.5
foolish_train44_eval19,exp1,19,44,foolish,,55.0
EWC_train44_eval19,exp1,19,44,EWC,0.4,45.0
naive_train45_eval19,exp1,19,45,naive,,45.0
foolish_train45_eval19,exp1,19,45,foolish,,53.0
EWC_train45_eval19,exp1,19,45,EWC,0.4,37.5
naive_train46_eval19,exp1,19,46,naive,,53.0
foolish_train46_eval19,exp1,19,46,foolish,,47.5
EWC_train46_eval19,exp1,19,46,EWC,0.4,41.0
naive_train47_eval19,exp1,19,47,naive,,48.5
foolish_train47_eval19,exp1,19,47,foolish,,46.0
EWC_train47_eval19,exp1,19,47,EWC,0.4,46.5
naive_train48_eval19,exp1,19,48,naive,,51.0
foolish_train48_eval19,exp1,19,48,foolish,,54.5
EWC_train48_eval19,exp1,19,48,EWC,0.4,48.5
naive_train49_eval19,exp1,19,49,naive,,62.0
foolish_train49_eval19,exp1,19,49,foolish,,61.0
EWC_train49_eval19,exp1,19,49,EWC,0.4,52.0
naive_train20_eval20,exp1,20,20,naive,,87.5
foolish_train20_eval20,exp1,20,20,foolish,,94.0
EWC_train20_eval20,exp1,20,20,EWC,0.4,90.0
naive_train21_eval20,exp1,20,21,naive,,47.5
foolish_train21_eval20,exp1,20,21,foolish,,48.5
EWC_train21_eval20,exp1,20,21,EWC,0.4,58.5
naive_train22_eval20,exp1,20,22,naive,,45.0
foolish_train22_eval20,exp1,20,22,foolish,,46.0
EWC_train22_eval20,exp1,20,22,EWC,0.4,55.5
naive_train23_eval20,exp1,20,23,naive,,56.0
foolish_train23_eval20,exp1,20,23,foolish,,62.0
EWC_train23_eval20,exp1,20,23,EWC,0.4,48.0
naive_train24_eval20,exp1,20,24,naive,,37.0
foolish_train24_eval20,exp1,20,24,foolish,,33.5
EWC_train24_eval20,exp1,20,24,EWC,0.4,36.0
naive_train25_eval20,exp1,20,25,naive,,50.0
foolish_train25_eval20,exp1,20,25,foolish,,52.0
EWC_train25_eval20,exp1,20,25,EWC,0.4,48.0
naive_train26_eval20,exp1,20,26,naive,,39.0
foolish_train26_eval20,exp1,20,26,foolish,,24.5
EWC_train26_eval20,exp1,20,26,EWC,0.4,53.5
naive_train27_eval20,exp1,20,27,naive,,46.5
foolish_train27_eval20,exp1,20,27,foolish,,35.5
EWC_train27_eval20,exp1,20,27,EWC,0.4,60.5
naive_train28_eval20,exp1,20,28,naive,,59.5
foolish_train28_eval20,exp1,20,28,foolish,,72.5
EWC_train28_eval20,exp1,20,28,EWC,0.4,68.5
naive_train29_eval20,exp1,20,29,naive,,59.5
foolish_train29_eval20,exp1,20,29,foolish,,45.0
EWC_train29_eval20,exp1,20,29,EWC,0.4,69.5
naive_train30_eval20,exp1,20,30,naive,,46.0
foolish_train30_eval20,exp1,20,30,foolish,,37.0
EWC_train30_eval20,exp1,20,30,EWC,0.4,46.5
naive_train31_eval20,exp1,20,31,naive,,58.5
foolish_train31_eval20,exp1,20,31,foolish,,49.5
EWC_train31_eval20,exp1,20,31,EWC,0.4,61.0
naive_train32_eval20,exp1,20,32,naive,,56.5
foolish_train32_eval20,exp1,20,32,foolish,,56.0
EWC_train32_eval20,exp1,20,32,EWC,0.4,61.5
naive_train33_eval20,exp1,20,33,naive,,46.5
foolish_train33_eval20,exp1,20,33,foolish,,36.5
EWC_train33_eval20,exp1,20,33,EWC,0.4,54.5
naive_train34_eval20,exp1,20,34,naive,,54.5
foolish_train34_eval20,exp1,20,34,foolish,,68.5
EWC_train34_eval20,exp1,20,34,EWC,0.4,78.5
naive_train35_eval20,exp1,20,35,naive,,42.0
