,exp_name,task_number,task_trained_on,model,lambda,accuracy
EWC_train54_eval0,exp1,0,54,EWC,0.4,53.0
naive_train55_eval0,exp1,0,55,naive,,71.5
foolish_train55_eval0,exp1,0,55,foolish,,69.0
EWC_train55_eval0,exp1,0,55,EWC,0.4,57.0
naive_train56_eval0,exp1,0,56,naive,,66.5
foolish_train56_eval0,exp1,0,56,foolish,,66.0
EWC_train56_eval0,exp1,0,56,EWC,0.4,57.0
naive_train57_eval0,exp1,0,57,naive,,69.0
foolish_train57_eval0,exp1,0,57,foolish,,58.5
EWC_train57_eval0,exp1,0,57,EWC,0.4,54.5
naive_train58_eval0,exp1,0,58,naive,,45.5
foolish_train58_eval0,exp1,0,58,foolish,,61.0
EWC_train58_eval0,exp1,0,58,EWC,0.4,54.5
naive_train59_eval0,exp1,0,59,naive,,65.0
foolish_train59_eval0,exp1,0,59,foolish,,61.5
EWC_train59_eval0,exp1,0,59,EWC,0.4,52.5
naive_train60_eval0,exp1,0,60,naive,,42.5
foolish_train60_eval0,exp1,0,60,foolish,,44.0
EWC_train60_eval0,exp1,0,60,EWC,0.4,46.0
naive_train61_eval0,exp1,0,61,naive,,25.5
foolish_train61_eval0,exp1,0,61,foolish,,43.5
EWC_train61_eval0,exp1,0,61,EWC,0.4,50.0
naive_train62_eval0,exp1,0,62,naive,,58.0
foolish_train62_eval0,exp1,0,62,foolish,,54.0
EWC_train62_eval0,exp1,0,62,EWC,0.4,60.0
naive_train63_eval0,exp1,0,63,naive,,71.0
foolish_train63_eval0,exp1,0,63,foolish,,83.0
EWC_train63_eval0,exp1,0,63,EWC,0.4,65.5
naive_train64_eval0,exp1,0,64,naive,,66.0
foolish_train64_eval0,exp1,0,64,foolish,,38.5
EWC_train64_eval0,exp1,0,64,EWC,0.4,52.0
naive_train65_eval0,exp1,0,65,naive,,54.5
foolish_train65_eval0,exp1,0,65,foolish,,56.5
EWC_train65_eval0,exp1,0,65,EWC,0.4,48.5
naive_train66_eval0,exp1,0,66,naive,,33.5
foolish_train66_eval0,exp1,0,66,foolish,,37.5
EWC_train66_eval0,exp1,0,66,EWC,0.4,49.0
naive_train67_eval0,exp1,0,67,naive,,28.5
foolish_train67_eval0,exp1,0,67,foolish,,57.0
EWC_train67_eval0,exp1,0,67,EWC,0.4,53.5
naive_train68_eval0,exp1,0,68,naive,,27.0
foolish_train68_eval0,exp1,0,68,foolish,,33.5
EWC_train68_eval0,exp1,0,68,EWC,0.4,52.5
naive_train69_eval0,exp1,0,69,naive,,64.0
foolish_train69_eval0,exp1,0,69,foolish,,66.5
